component,explained_variance_ratio,corr_with_embedding_axis,abs_corr_with_embedding_axis,delta_bic,top_positive_terms,top_negative_terms
PC1,0.002725182865998882,-0.12087567609462808,0.12087567609462808,827.2322366751032,climate; carbon; development; change; climate change; energy; countries; finance; emissions; global,är; för; och; img; ubuntu; та; mi mml; mml mi; urban innovation; på
PC2,0.007778789065873065,-0.08178155405966069,0.08178155405966069,3955.6418542726533,cdm; mechanism; clean development; development mechanism; clean; emission; kyoto; mechanism cdm; carbon; projects,climate; finance; climate finance; adaptation; climate change; change; green; financial; governance; financing
PC3,0.005988820552591959,-0.583010017612685,0.583010017612685,37.13440401956177,climate; climate change; change; countries; cdm; kyoto; international; adaptation; protocol; developing countries,green; energy; carbon; study; green finance; model; china; results; financial; data
PC4,0.004832474006791025,0.37094787456599376,0.37094787456599376,240.7560541456769,finance; green; financial; development; green finance; china; climate finance; cdm; low carbon; sustainable development,forest; land; forests; soil; use; biomass; change; sequestration; agricultural; redd
PC5,0.004036498823326976,-0.12512335798481036,0.12512335798481036,1066.1574612380355,carbon; trading; market; forest; carbon finance; emissions; low carbon; carbon market; china; finance,energy; renewable; renewable energy; cdm; sustainable; projects; electricity; power; sustainable development; generation
emb_PC1,0.058224234730005264,-0.26597273576544955,0.26597273576544955,170.89956040910693,,
emb_PC10,0.01873771846294403,0.00838466838903943,0.00838466838903943,-96.5340370959857,,
emb_PC2,0.0542181134223938,0.6708378225173159,0.6708378225173159,932.1124001913449,,
emb_PC3,0.040749337524175644,-0.14714353738176322,0.14714353738176322,389.90514959625216,,
emb_PC4,0.03801409527659416,-0.5977870538237025,0.5977870538237025,450.4720927648923,,
emb_PC5,0.03176484629511833,-0.09607010098376771,0.09607010098376771,135.0917194061658,,
emb_PC6,0.02917497791349888,0.11326564862377057,0.11326564862377057,1.3460691147229227,,
emb_PC7,0.026236096397042274,0.029632009807686252,0.029632009807686252,-9.822557670555398,,
emb_PC8,0.023027971386909485,-0.12556482743342445,0.12556482743342445,37.45362998775454,,
emb_PC9,0.022033831104636192,0.09593051542664296,0.09593051542664296,128.53485705188723,,
