bib_key,bib_type,bib_title,bib_year,bib_doi,match_type,corpus_doi,corpus_title,corpus_year,corpus_cited_by
desrosieres1998,book,The Politics of Large Numbers: A History of Statistical Reasoning,1998,,none,,,,
porter1995,book,Trust in Numbers: The Pursuit of Objectivity in Science and Public Life,1995,,none,,,,
callon1998,book,The Laws of the Markets,1998,,none,,,,
mackenzie2006,book,"An Engine, Not a Camera: How Financial Models Shape Markets",2006,,none,,,,
fourcade2007,article,Theories of Markets and Theories of Society,2007,10.1177/0002764207299351,none,,,,
caliskan_callon2009,article,"Economization, Part 1: Shifting Attention from the Economy towards Processes of Economization",2009,10.1080/03085140903020580,none,,,,
caliskan_callon2010,article,"Economization, Part 2: A Research Programme for the Study of Markets",2010,10.1080/03085140903424519,none,,,,
gieryn1983,article,Boundary-Work and the Demarcation of Science from Non-Science: Strains and Interests in Professional Ideologies of Scientists,1983,10.2307/2095325,none,,,,
kaul2003,book,Providing Global Public Goods: Managing Globalization,2003,,none,,,,
kaul2017,inproceedings,Putting Climate Finance into Context: A Global Public Goods Perspective,2017,10.1142/9789814641814_0007,doi,10.1142/9789814641814_0007,Putting Climate Finance into Context: A Global Public Goods Perspective,2017.0,8.0
ayres_kneese1969,article,"Production, Consumption, and Externalities",1969,,none,,,,
negishi1960,article,Welfare Economics and Existence of an Equilibrium for a Competitive Economy,1960,10.1111/j.1467-999x.1960.tb00275.x,none,,,,
nordhaus1992,article,An Optimal Transition Path for Controlling Greenhouse Gases,1992,10.1126/science.258.5086.1315,none,,,,
stern2007,book,The Economics of Climate Change: The Stern Review,2007,,fuzzy,nan,Stern Review: The Economics of Climate Change,2006.0,
stern2009,book,A Blueprint for a Safer Planet: How to Manage Climate Change and Create a New Era of Progress and Prosperity,2009,,none,,,,
weitzman2007,article,A Review of {The Stern Review on the Economics of Climate Change},2007,10.1257/jel.45.3.703,doi,10.1257/jel.45.3.703,A Review of the <i>Stern Review on the Economics of Climate Change</i>,2007.0,1030.0
weitzman2009,article,On Modeling and Interpreting the Economics of Catastrophic Climate Change,2009,10.1162/rest.91.1.1,none,,,,
manne_richels1992,article,Buying Greenhouse Insurance,1992,10.1016/0301-4215(92)90024-v,none,,,,
hourcade2015,book,"The `Dark Matter' in the Search for Sustainable Growth: Energy, Innovation and the Financially Paradoxical Role of Climate Confidence",2015,10.1057/9781137446138_7,none,,,,
steckel2016,article,From Climate Finance Toward Sustainable Development Finance,2016,10.1002/wcc.437,doi,10.1002/wcc.437,From climate finance toward sustainable development finance,2016.0,132.0
corfee-morlot2009,book,"Cities, Climate Change and Multilevel Governance",2009,10.1787/220062444715,doi,10.1787/220062444715,"Cities, Climate Change and Multilevel Governance",2009.0,298.0
corfee-morlot2012,book,Towards a Green Investment Policy Framework,2012,10.1787/5k8zth7s6s6d-en,doi,10.1787/5k8zth7s6s6d-en,Towards a Green Investment Policy Framework,2012.0,86.0
michaelowa2007,article,Climate or Development: Is {ODA} Diverted from Its Original Purpose?,2007,10.1007/s10584-007-9270-3,doi,10.1007/s10584-007-9270-3,Climate or development: is ODA diverted from its original purpose?,2007.0,96.0
michaelowa2019,article,Evolution of International Carbon Markets: Lessons for the {Paris} Agreement,2019,10.1002/wcc.613,doi,10.1002/wcc.613,Evolution of international carbon markets: lessons for the Paris Agreement,2019.0,165.0
weikmans2017,article,The International Climate Finance Accounting Muddle: Is There Hope on the Horizon?,2017,10.1080/17565529.2017.1410087,doi,10.1080/17565529.2017.1410087,The international climate finance accounting muddle: is there hope on the horizon?,2017.0,156.0
roberts_weikmans2017,article,"Postface: Fragmentation, Failing Trust and Enduring Tensions over What Counts as Climate Finance",2017,10.1007/s10784-016-9347-4,doi,10.1007/s10784-016-9347-4,"Postface: fragmentation, failing trust and enduring tensions over what counts as climate finance",2017.0,128.0
roberts2021,article,Rebooting a Failed Promise of Climate Finance,2021,10.1038/s41558-021-00990-2,doi,10.1038/s41558-021-00990-2,Rebooting a failed promise of climate finance,2021.0,164.0
khan_weikmans2019,article,Twenty-Five Years of Adaptation Finance through a Climate Justice Lens,2019,10.1007/s10584-019-02563-x,doi,10.1007/s10584-019-02563-x,Twenty-five years of adaptation finance through a climate justice lens,2019.0,203.0
stadelmann2011,article,New and Additional to What? Assessing Options for Baselines to Assess ``New and Additional'' Climate Finance,2011,10.1080/17565529.2011.599550,doi,10.1080/17565529.2011.599550,New and additional to what? Assessing options for baselines to assess climate finance pledges,2011.0,86.0
stadelmann2013,article,Difficulties in Accounting for Private Finance in International Climate Policy,2013,10.1080/14693062.2013.791146,doi,10.1080/14693062.2013.791146,Difficulties in accounting for private finance in international climate policy,2013.0,79.0
caruso_ellis2013,book,Comparing Definitions and Methods to Estimate Mobilised Climate Finance,2013,10.1787/5k44wj0s6fq2-en,doi,10.1787/5k44wj0s6fq2-en,Comparing Definitions and Methods to Estimate Mobilised Climate Finance,2013.0,36.0
jachnik2015,book,"Estimating Mobilised Private Climate Finance: Methodological Approaches, Options and Trade-offs",2015,10.1787/5js4x001rqf8-en,doi,10.1787/5js4x001rqf8-en,Estimating Mobilised Private Climate Finance,2015.0,25.0
buchner2011,book,Monitoring and Tracking Long-Term Finance to Support Climate Action,2011,10.1787/5k44zcqbbj42-en,doi,10.1787/5k44zcqbbj42-en,Monitoring and Tracking Long-Term Finance to Support Climate Action,2011.0,76.0
buchner2013,book,The Global Landscape of Climate Finance 2013,2013,,fuzzy,nan,The Global Landscape of Climate Finance 2013,2013.0,93.0
pauw2022,article,Post-2025 Climate Finance Target: How Much More and How Much Better?,2022,10.1080/14693062.2022.2114985,doi,10.1080/14693062.2022.2114985,Post-2025 climate finance target: how much more and how much better?,2022.0,59.0
forstater2012,book,Towards Climate Finance Transparency,2012,,fuzzy,nan,Towards Climate Finance Transparency,2012.0,9.0
carty_lecomte2018,book,Climate Finance Shadow Report 2018: Assessing Progress towards the \$100 Billion Commitment,2018,10.21201/2018.2388,doi,10.21201/2018.2388,Climate Finance Shadow Report 2018: Assessing progress towards the $100 billion commitment,2018.0,25.0
skovgaard2017,article,Limiting Costs or Correcting Market Failures? Finance Ministries and Frame Alignment in {UN} Climate Finance Negotiations,2017,10.1007/s10784-016-9348-3,doi,10.1007/s10784-016-9348-3,Limiting costs or correcting market failures? Finance ministries and frame alignment in UN climate finance negotiations,2017.0,39.0
atteridge_dzebo2015,article,When Does Private Finance Count as Climate Finance? Accounting for Private Contributions towards International Pledges,2015,,fuzzy,nan,When does private finance count as climate finance? Accounting for private contributions towards international pledges,2015.0,3.0
monasterolo2020,article,Climate Change and the Financial System,2020,10.1146/annurev-resource-110119-031134,doi,10.1146/annurev-resource-110119-031134,Climate Change and the Financial System,2020.0,259.0
stern2010,book,Report of the Secretary-General's High-level Advisory Group on Climate Change Financing,2010,,fuzzy,nan,Report of the Secretary-General's High-Level Advisory Group on Climate Change Financing,2010.0,
bachus_becault2017,article,Public Climate Finance: The Challenge of Reporting Equity,2017,,fuzzy,nan,Public climate finance: the challenge of reporting equity,2017.0,0.0
pottier2016,book,Comment les économistes réchauffent la planète,2016,,none,,,,
dahan2010,article,Putting the Earth System in a Numerical Box? The Evolution from Climate Modeling toward Global Change,2010,10.1016/j.shpsc.2010.08.002,none,,,,
aykut_dahan2015,book,Gouverner le climat? Vingt ans de négociations internationales,2015,,none,,,,
espeland_stevens1998,article,Commensuration as a Social Process,1998,10.1146/annurev.soc.24.1.313,none,,,,
power1997,book,The Audit Society: Rituals of Verification,1997,,none,,,,
