year,de,en,es,fr,ja,other,pt,zh
1991,0,0,0,0,0,2,0,0
1992,0,1,0,0,0,0,0,0
1993,0,1,0,0,0,0,0,0
1994,0,1,0,0,0,1,0,0
1996,0,2,0,0,0,0,0,0
1997,0,2,0,0,0,1,0,0
1998,1,29,0,0,0,3,0,0
1999,2,40,0,1,0,1,0,0
2000,0,69,1,1,0,3,0,0
2001,1,82,0,1,0,1,0,0
2002,1,97,1,1,0,3,0,0
2003,0,94,0,0,0,3,0,0
2004,2,115,3,0,0,3,0,1
2005,1,170,4,0,0,5,2,0
2006,1,185,2,0,0,10,2,0
2007,2,290,4,0,0,11,4,1
2008,2,335,5,3,1,15,13,1
2009,1,527,5,1,0,27,11,1
2010,3,642,5,3,0,44,12,0
2011,1,709,8,5,0,54,4,0
2012,2,750,1,7,0,61,7,1
2013,6,727,5,6,0,77,8,1
2014,2,684,2,4,0,54,5,0
2015,1,718,4,11,0,108,3,1
2016,3,714,8,8,1,96,6,0
2017,1,804,8,11,0,42,3,0
2018,1,806,3,11,0,54,4,0
2019,0,809,8,8,0,50,7,0
2020,7,959,7,6,0,40,6,0
2021,2,1435,12,8,0,54,8,0
2022,3,2037,12,8,0,75,11,0
2023,8,2451,14,8,0,145,9,0
2024,1,1548,9,6,1,105,9,0
2025,3,1695,4,4,0,439,12,1
