year,js_k4,js_k5,js_k6,js_k7
2005,,,,
2006,,,,
2007,,,,
2008,,,,
2009,0.007716867053329517,0.016759414272197886,0.05042090262854545,0.037137642851585204
2010,5.944395074975904e-06,0.0010193943759450232,0.008732684729549769,0.005355360815015172
2011,0.0032902647144932937,0.005695518070301577,0.005690350397840847,0.0024923261735718028
2012,0.00620166295935835,0.008239165669267502,0.009649720963040844,0.008439170616260611
2013,0.00901469136123564,0.014058885529905992,0.017126116101395215,0.01518566682667697
2014,0.0029514588845084497,0.007119756836186032,0.014061950297899008,0.011303076925790415
2015,0.0025938847243498317,0.006208397133444975,0.017589132925077865,0.014238923502101456
2016,0.003549680793738689,0.008300226007140818,0.014648833484465294,0.014902738445670399
2017,0.002995306853252999,0.006586544752864784,0.014094904613850809,0.014444841337738325
2018,0.01237664064973127,0.012467237102494207,0.01938360834675934,0.018500436198831748
2019,0.012757686098653485,0.01301892860290289,0.017978393856124708,0.01642407101363403
2020,0.006829537227721918,0.0053268739456183,0.008700935107554281,0.006869308860767125
2021,0.0061374948381906075,0.004988240136153819,0.005090299282094982,0.004686215835128038
2022,0.004943154956358163,0.0069759208994642115,0.006989148408768603,0.006090626085343613
2023,0.005427089669231594,0.005766377912546407,0.0073343214223836675,0.00758498628454926
